Tinamiformes;Tinamidae;Tinamous;Tinamous;"Nothura minor";"Lesser Nothura";"Kleine Nothura";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Nothura darwinii";"Darwin's Nothura";"Darwins Nothura";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Nothura maculosa";"Spotted Nothura";"Gevlekte Nothura";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Taoniscus nanus";"Dwarf Tinamou";Dwergtinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Eudromia elegans";"Elegant Crested-Tinamou";Kuiftinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Eudromia formosa";"Quebracho Crested-Tinamou";Quebrachotinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Tinamotis pentlandii";"Puna Tinamou";Punatinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Tinamotis ingoufi";"Patagonian Tinamou";"Patagonische Tinamoe";0;;
Casuariiformes;Casuariidae;"Cassowaries and Emu";"Cassowaries and Emu";"Casuarius casuarius";"Southern Cassowary";Helmkasuaris;0;;
Casuariiformes;Casuariidae;"Cassowaries and Emu";"Cassowaries and Emu";"Casuarius bennetti";"Dwarf Cassowary";Dwergkasuaris;0;;
Casuariiformes;Casuariidae;"Cassowaries and Emu";"Cassowaries and Emu";"Casuarius unappendiculatus";"Northern Cassowary";Oranjehalskasuaris;0;;
Casuariiformes;Casuariidae;"Cassowaries and Emu";"Cassowaries and Emu";"Dromaius novaehollandiae";Emu;Emoe;1;birds/dromaius-novaehollandiae/large.jpg;birds/dromaius-novaehollandiae/thumb.jpg
Apterygiformes;Apterygidae;Kiwis;Kiwis;"Apteryx australis";"Southern Brown Kiwi";"Zuidelijke Bruine Kiwi";0;;
Apterygiformes;Apterygidae;Kiwis;Kiwis;"Apteryx rowi";"Okarito Brown Kiwi";Rowi;0;;
Apterygiformes;Apterygidae;Kiwis;Kiwis;"Apteryx mantelli";"North Island Brown Kiwi";"Noordelijke Bruine Kiwi";0;;
Apterygiformes;Apterygidae;Kiwis;Kiwis;"Apteryx owenii";"Little Spotted Kiwi";"Kleine Grijze Kiwi";0;;
Apterygiformes;Apterygidae;Kiwis;Kiwis;"Apteryx haastii";"Great Spotted Kiwi";"Grote Grijze Kiwi";0;;
